pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-53.57,-53.76,,0.19,,,,,
-53.7,-53.82,,0.12,,,,,
-53.58,-53.78,,0.2,,,,,
-53.57,-53.85,,0.28,,,,,
-53.73,-53.87,,0.14,,,,,
-53.56,-53.82,,0.26,,,,,
-53.69,-53.89,,0.2,,,,,
-53.62,-53.83,,0.21,,,,,
-53.63,-53.93,,0.3,,,,,
-53.71,-53.9,,0.19,,,,,
-53.67,-53.92,,0.25,,,,,
-53.7,-53.94,,0.24,,,,,
-53.79,-53.91,,0.12,,,,,
-53.75,-53.95,,0.2,,,,,
-53.77,-53.99,,0.22,,,,,
-53.78,-53.99,,0.21,,,,,
-53.74,-53.95,,0.21,,,,,
-53.77,-53.97,,0.2,,,,,
-53.79,-53.98,,0.19,,,,,
-53.81,-54.03,,0.22,,,,,
-53.82,-54.02,,0.2,,,,,
-53.81,-54.04,,0.23,,,,,
-53.88,-54.07,,0.19,,,,,
-53.84,-54.11,,0.27,,,,,
-53.92,-54.1,,0.18,,,,,
-53.85,-54.05,,0.2,,,,,
-53.85,-54.1,,0.25,,,,,
-53.85,-54.13,,0.28,,,,,
-53.88,-54.12,,0.24,,,,,
-53.87,-54.1,,0.23,,,,,
-53.94,-54.17,,0.23,,,,,
-53.98,-54.15,,0.17,,,,,
-53.92,-54.13,,0.21,,,,,
-53.94,-54.14,,0.2,,,,,
-53.98,-54.2,,0.22,,,,,
-53.98,-54.15,,0.17,,,,,
-53.94,-54.18,,0.24,,,,,
-54.03,-54.21,,0.18,,,,,
-54,-54.22,,0.22,,,,,
-54.01,-54.25,,0.24,,,,,
-54,-54.22,,0.22,,,,,
-53.99,-54.23,,0.24,,,,,
-54.05,-54.22,,0.17,,,,,
-53.95,-54.2,,0.25,,,,,
-54.02,-54.28,,0.26,,,,,
-53.99,-54.23,,0.24,,,,,
-54.02,-54.23,,0.21,,,,,
-54.09,-54.27,,0.18,,,,,
-54.13,-54.24,,0.11,,,,,
-54.03,-54.27,,0.24,,,,,
-54.11,-54.28,,0.17,,,,,
-54.05,-54.27,,0.22,,,,,
-54.13,-54.26,,0.13,,,,,
-54.09,-54.27,,0.18,,,,,
-54.08,-54.21,,0.13,,,,,
-54.12,-54.27,,0.15,,,,,
-54.09,-54.29,,0.2,,,,,
-54.02,-54.27,,0.25,,,,,
-54.11,-54.3,,0.19,,,,,
-54.05,-54.28,,0.23,,,,,
-54.11,-54.26,,0.15,,,,,
-54.15,-54.34,,0.19,,,,,
-54.13,-54.29,,0.16,,,,,
-54.17,-54.31,,0.14,,,,,
-54.16,-54.28,,0.12,,,,,
-54.12,-54.29,,0.17,,,,,
-54.1,-54.32,,0.22,,,,,
-54.17,-54.31,,0.14,,,,,
-54.12,-54.28,,0.16,,,,,
-54.15,-54.32,,0.17,,,,,
-54.15,-54.32,,0.17,,,,,
-54.14,-54.3,,0.16,,,,,
-54.12,-54.3,,0.18,,,,,
-54.15,-54.31,,0.16,,,,,
-54.18,-54.34,,0.16,,,,,
-54.12,-54.32,,0.2,,,,,
-54.13,-54.29,,0.16,,,,,
-54.14,-54.33,,0.19,,,,,
-54.2,-54.29,,0.09,,,,,
-54.16,-54.28,,0.12,,,,,
-54.14,-54.34,,0.2,,,,,
-54.16,-54.31,,0.15,,,,,
-54.14,-54.36,,0.22,,,,,
-54.22,-54.33,,0.11,,,,,
-54.18,-54.28,,0.1,,,,,
-54.14,-54.35,,0.21,,,,,
-54.15,-54.31,,0.16,,,,,
-54.19,-54.34,,0.15,,,,,
-54.26,-54.35,,0.09,,,,,
-54.16,-54.32,,0.16,,,,,
-54.24,-54.31,,0.07,,,,,
-54.14,-54.31,,0.17,,,,,
-54.15,-54.33,,0.18,,,,,
-54.16,-54.36,,0.2,,,,,
-54.19,-54.33,,0.14,,,,,
-54.25,-54.37,,0.12,,,,,
-54.2,-54.39,,0.19,,,,,
-54.24,-54.36,,0.12,,,,,
-54.2,-54.34,,0.14,,,,,
-54.18,-54.38,,0.2,,,,,
-54.22,-54.37,,0.15,,,,,
-54.21,-54.38,,0.17,,,,,
-54.15,-54.42,,0.27,,,,,
-54.21,-54.4,,0.19,,,,,
-54.21,-54.41,,0.2,,,,,
-54.34,-54.4,,0.06,,,,,
-54.25,-54.46,,0.21,,,,,
-54.26,-54.39,,0.13,,,,,
-54.29,-54.4,,0.11,,,,,
-54.22,-54.43,,0.21,,,,,
-54.29,-54.37,,0.08,,,,,
-54.24,-54.48,,0.24,,,,,
-54.29,-54.42,,0.13,,,,,
-54.31,-54.38,,0.07,,,,,
-54.28,-54.47,,0.19,,,,,
-54.3,-54.42,,0.12,,,,,
-54.3,-54.4,,0.1,,,,,
-54.28,-54.44,,0.16,,,,,
-54.27,-54.42,,0.15,,,,,
-54.36,-54.49,,0.13,,,,,
-54.29,-54.44,,0.15,,,,,
-54.32,-54.42,,0.1,,,,,
-54.25,-54.45,,0.2,,,,,
-54.34,-54.46,,0.12,,,,,
-54.33,-54.46,,0.13,,,,,
-54.33,-54.56,,0.23,,,,,
-54.33,-54.47,,0.14,,,,,
-54.37,-54.49,,0.12,,,,,
-54.4,-54.49,,0.09,,,,,
-54.37,-54.48,,0.11,,,,,
-54.34,-54.57,,0.23,,,,,
-54.39,-54.49,,0.1,,,,,
