pu+pr-b,pu pr,,(pu+pr-1b) - (pu pr),,,,,Stokes
Amp,Amp,,,,,,,
-53.59,-53.62,,0.03,,,,,
-53.54,-53.65,,0.11,,,,,
-53.63,-53.61,,-0.02,,,,,
-53.55,-53.65,,0.1,,,,,
-53.57,-53.56,,-0.01,,,,,
-53.65,-53.64,,-0.01,,,,,
-53.6,-53.67,,0.07,,,,,
-53.57,-53.6,,0.03,,,,,
-53.58,-53.67,,0.09,,,,,
-53.66,-53.64,,-0.02,,,,,
-53.59,-53.66,,0.07,,,,,
-53.66,-53.66,,0,,,,,
-53.6,-53.61,,0.01,,,,,
-53.62,-53.65,,0.03,,,,,
-53.55,-53.71,,0.16,,,,,
-53.59,-53.63,,0.04,,,,,
-53.58,-53.66,,0.08,,,,,
-53.62,-53.65,,0.03,,,,,
-53.64,-53.66,,0.02,,,,,
-53.68,-53.71,,0.03,,,,,
-53.66,-53.64,,-0.02,,,,,
-53.71,-53.67,,-0.04,,,,,
-53.67,-53.67,,0,,,,,
-53.67,-53.69,,0.02,,,,,
-53.67,-53.69,,0.02,,,,,
-53.65,-53.69,,0.04,,,,,
-53.67,-53.68,,0.01,,,,,
-53.64,-53.71,,0.07,,,,,
-53.6,-53.66,,0.06,,,,,
-53.69,-53.67,,-0.02,,,,,
-53.65,-53.71,,0.06,,,,,
-53.65,-53.71,,0.06,,,,,
-53.66,-53.74,,0.08,,,,,
-53.68,-53.72,,0.04,,,,,
-53.66,-53.67,,0.01,,,,,
-53.65,-53.71,,0.06,,,,,
-53.7,-53.73,,0.03,,,,,
-53.68,-53.71,,0.03,,,,,
-53.67,-53.74,,0.07,,,,,
-53.67,-53.7,,0.03,,,,,
-53.77,-53.73,,-0.04,,,,,
-53.74,-53.74,,0,,,,,
-53.78,-53.72,,-0.06,,,,,
-53.74,-53.77,,0.03,,,,,
-53.74,-53.77,,0.03,,,,,
-53.68,-53.7,,0.02,,,,,
-53.7,-53.78,,0.08,,,,,
-53.73,-53.73,,0,,,,,
-53.79,-53.72,,-0.07,,,,,
-53.65,-53.8,,0.15,,,,,
-53.74,-53.72,,-0.02,,,,,
-53.69,-53.78,,0.09,,,,,
-53.76,-53.79,,0.03,,,,,
-53.7,-53.77,,0.07,,,,,
-53.78,-53.81,,0.03,,,,,
